W;W^(rc);P;Q;
1,2,3,;1,2,3,;1,2,3,n;1,2,3,n;
1,3,2,;2,1,3,;1,3,n2,n;1,3,n2,n;
2,1,3,;1,3,2,;1,2,n3,n;1,2,n3,n;
2,3,1,;3,1,2,;1,2,n3,n;1,3,n2,n;
3,1,2,;2,3,1,;1,3,n2,n;1,2,n3,n;
3,2,1,;3,2,1,;1,n2,n3,n;1,n2,n3,n;
