W;W^(rc);Q;
1,2,3,4,5,;1,2,3,4,5,;1,2,3,4,5,n;
1,4,3,2,5,;1,4,3,2,5,;1,2,5,n3,n4,n;
1,5,3,2,4,;2,4,3,1,5,;1,2,5,n3,n4,n;
1,5,4,2,3,;3,4,2,1,5,;1,2,5,n3,n4,n;
2,1,3,5,4,;2,1,3,5,4,;1,3,4,n2,5,n;
2,1,4,5,3,;3,1,2,5,4,;1,3,4,n2,5,n;
2,4,3,1,5,;1,5,3,2,4,;1,2,5,n3,n4,n;
2,5,3,1,4,;2,5,3,1,4,;1,2,5,n3,n4,n;
2,5,4,1,3,;3,5,2,1,4,;1,2,n3,5,n4,n;
3,1,2,5,4,;2,1,4,5,3,;1,3,4,n2,5,n;
3,1,4,5,2,;4,1,2,5,3,;1,3,4,n2,5,n;
3,2,4,5,1,;5,1,2,4,3,;1,3,4,n2,n5,n;
3,4,2,1,5,;1,5,4,2,3,;1,2,5,n3,n4,n;
3,5,2,1,4,;2,5,4,1,3,;1,2,n3,5,n4,n;
3,5,4,1,2,;4,5,2,1,3,;1,2,n3,5,n4,n;
4,1,2,5,3,;3,1,4,5,2,;1,3,4,n2,5,n;
4,1,3,5,2,;4,1,3,5,2,;1,3,4,n2,n5,n;
4,2,3,5,1,;5,1,3,4,2,;1,3,4,n2,n5,n;
4,5,2,1,3,;3,5,4,1,2,;1,2,n3,5,n4,n;
4,5,3,1,2,;4,5,3,1,2,;1,2,n3,5,n4,n;
5,1,2,4,3,;3,2,4,5,1,;1,3,4,n2,n5,n;
5,1,3,4,2,;4,2,3,5,1,;1,3,4,n2,n5,n;
5,2,3,4,1,;5,2,3,4,1,;1,3,4,n2,n5,n;
5,4,3,2,1,;5,4,3,2,1,;1,n2,n3,n4,n5,n;
