W;W^(rc);Q;
1,2,3,4,;1,2,3,4,;1,2,3,4,n;
1,3,2,4,;1,3,2,4,;1,2,4,n3,n;
1,4,2,3,;2,3,1,4,;1,2,4,n3,n;
2,1,4,3,;2,1,4,3,;1,3,n2,4,n;
2,3,1,4,;1,4,2,3,;1,2,4,n3,n;
2,4,1,3,;2,4,1,3,;1,2,n3,4,n;
3,1,4,2,;3,1,4,2,;1,3,n2,4,n;
3,2,4,1,;4,1,3,2,;1,3,n2,n4,n;
3,4,1,2,;3,4,1,2,;1,2,n3,4,n;
4,1,3,2,;3,2,4,1,;1,3,n2,n4,n;
4,2,3,1,;4,2,3,1,;1,3,n2,n4,n;
4,3,2,1,;4,3,2,1,;1,n2,n3,n4,n;
