W;W^(rc);Q;
6,1,2,4,5,3,;4,2,3,5,6,1,;1,3,4,5,n2,n6,n;
6,1,3,4,5,2,;5,2,3,4,6,1,;1,3,4,5,n2,n6,n;
6,1,4,3,5,2,;5,2,4,3,6,1,;1,3,5,n2,n4,n6,n;
6,1,5,2,4,3,;4,3,5,2,6,1,;1,3,5,n2,n4,n6,n;
6,1,5,3,4,2,;5,3,4,2,6,1,;1,3,5,n2,n4,n6,n;
6,2,1,5,4,3,;4,3,2,6,5,1,;1,4,n2,5,n3,n6,n;
6,2,3,4,5,1,;6,2,3,4,5,1,;1,3,4,5,n2,n6,n;
6,2,4,3,5,1,;6,2,4,3,5,1,;1,3,5,n2,n4,n6,n;
6,2,5,1,4,3,;4,3,6,2,5,1,;1,3,n2,5,n4,n6,n;
6,2,5,3,4,1,;6,3,4,2,5,1,;1,3,5,n2,n4,n6,n;
6,3,1,5,4,2,;5,3,2,6,4,1,;1,4,n2,5,n3,n6,n;
6,3,2,5,4,1,;6,3,2,5,4,1,;1,4,n2,5,n3,n6,n;
6,3,4,2,5,1,;6,2,5,3,4,1,;1,3,5,n2,n4,n6,n;
6,3,5,1,4,2,;5,3,6,2,4,1,;1,3,n2,5,n4,n6,n;
6,3,5,2,4,1,;6,3,5,2,4,1,;1,3,n2,5,n4,n6,n;
6,4,1,5,3,2,;5,4,2,6,3,1,;1,4,n2,5,n3,n6,n;
6,4,2,5,3,1,;6,4,2,5,3,1,;1,4,n2,5,n3,n6,n;
6,4,3,5,2,1,;6,5,2,4,3,1,;1,4,n2,n3,n5,n6,n;
6,4,5,1,3,2,;5,4,6,2,3,1,;1,3,n2,5,n4,n6,n;
6,4,5,2,3,1,;6,4,5,2,3,1,;1,3,n2,5,n4,n6,n;
6,5,1,4,3,2,;5,4,3,6,2,1,;1,4,n2,n3,n5,n6,n;
6,5,2,4,3,1,;6,4,3,5,2,1,;1,4,n2,n3,n5,n6,n;
6,5,3,4,2,1,;6,5,3,4,2,1,;1,4,n2,n3,n5,n6,n;
6,5,4,3,2,1,;6,5,4,3,2,1,;1,n2,n3,n4,n5,n6,n;
