W;W^(rc);Q;
1,2,3,4,5,6,7,8,9,;1,2,3,4,5,6,7,8,9,;1,2,3,4,5,6,7,8,9,n;
1,2,3,6,5,4,7,8,9,;1,2,3,6,5,4,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,7,5,4,6,8,9,;1,2,4,6,5,3,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,7,6,4,5,8,9,;1,2,5,6,4,3,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,8,5,4,6,7,9,;1,3,4,6,5,2,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,8,6,4,5,7,9,;1,3,5,6,4,2,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,8,7,4,5,6,9,;1,4,5,6,3,2,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,9,5,4,6,7,8,;2,3,4,6,5,1,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,9,6,4,5,7,8,;2,3,5,6,4,1,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,9,7,4,5,6,8,;2,4,5,6,3,1,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,3,9,8,4,5,6,7,;3,4,5,6,2,1,7,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,4,3,5,7,6,8,9,;1,2,4,3,5,7,6,8,9,;1,2,3,5,6,8,9,n4,7,n;
1,2,4,3,5,8,6,7,9,;1,3,4,2,5,7,6,8,9,;1,2,3,5,6,8,9,n4,7,n;
1,2,4,3,5,9,6,7,8,;2,3,4,1,5,7,6,8,9,;1,2,3,5,6,8,9,n4,7,n;
1,2,4,3,6,7,5,8,9,;1,2,5,3,4,7,6,8,9,;1,2,3,5,6,8,9,n4,7,n;
1,2,4,6,5,3,7,8,9,;1,2,3,7,5,4,6,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,4,7,5,3,6,8,9,;1,2,4,7,5,3,6,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,4,7,6,3,5,8,9,;1,2,5,7,4,3,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,4,8,5,3,6,7,9,;1,3,4,7,5,2,6,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,4,8,6,3,5,7,9,;1,3,5,7,4,2,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,4,8,7,3,5,6,9,;1,4,5,7,3,2,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,4,9,5,3,6,7,8,;2,3,4,7,5,1,6,8,9,;1,2,3,4,7,8,9,n5,n6,n;
1,2,4,9,6,3,5,7,8,;2,3,5,7,4,1,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,4,9,7,3,5,6,8,;2,4,5,7,3,1,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,4,9,8,3,5,6,7,;3,4,5,7,2,1,6,8,9,;1,2,3,4,8,9,n5,7,n6,n;
1,2,5,3,4,7,6,8,9,;1,2,4,3,6,7,5,8,9,;1,2,3,5,6,8,9,n4,7,n;
1,2,5,3,4,8,6,7,9,;1,3,4,2,6,7,5,8,9,;1,2,3,5,6,8,9,n4,7,n;
